Wavelength,Air,Glass,SS,MC,DS,2SS1MC,2MC1SS,2SS1DS,2DS1SS,1SS1MC1DS
738,100.036,91.795509,89.828659,91.202819,85.322742,54.564683,79.553692,73.900044,75.201195,71.197369
736,100.003472,91.79367,89.811805,91.186642,85.226328,54.56151,79.53816,73.861302,75.134561,71.174569
734,100.008614,91.810419,89.806893,91.222553,85.151237,54.577512,79.553822,73.848448,75.095513,71.15921
732,100.007822,91.805586,89.818417,91.216323,85.081293,54.583366,79.557162,73.829547,75.062967,71.146931
730,100.007701,91.801304,89.816581,91.201348,85.001814,54.587823,79.544661,73.804483,74.993834,71.112401
728,100.014379,91.81641,89.807488,91.222207,84.907355,54.589311,79.535613,73.800604,74.93666,71.098681
726,100.01336,91.816881,89.807115,91.233627,84.838873,54.587538,79.538969,73.777256,74.860305,71.093347
724,100.013566,91.812398,89.800884,91.2396,84.749253,54.599154,79.546723,73.748157,74.808568,71.079893
722,100.020212,91.818259,89.788348,91.252296,84.663421,54.605183,79.542713,73.720684,74.741627,71.063211
720,100.007653,91.821146,89.77089,91.254739,84.590616,54.599733,79.535457,73.692564,74.669301,71.034103
718,100.015177,91.841059,89.75867,91.259714,84.493384,54.600894,79.530965,73.672351,74.611086,71.009688
716,100.003319,91.824963,89.749345,91.253251,84.411553,54.604923,79.516502,73.645915,74.525646,70.981831
714,100.023869,91.82197,89.751807,91.270692,84.331337,54.610913,79.526598,73.61151,74.464495,70.96802
712,100.034877,91.830931,89.747079,91.273699,84.233611,54.621248,79.518881,73.580714,74.40594,70.943012
710,100.02381,91.823099,89.737643,91.279201,84.144934,54.620982,79.511,73.551889,74.325589,70.912225
708,100.015521,91.804363,89.728929,91.269161,84.049822,54.612383,79.490552,73.502012,74.228316,70.856693
706,100.01616,91.823522,89.697704,91.273219,83.966401,54.613041,79.468511,73.458536,74.119654,70.818241
704,100.010321,91.816528,89.6709,91.291588,83.870086,54.611072,79.455218,73.412415,74.014862,70.778756
702,100.007237,91.827061,89.673996,91.285978,83.773265,54.608568,79.446685,73.377189,73.895546,70.728276
700,99.99989,91.841186,89.648753,91.273298,83.660473,54.597604,79.412496,73.314482,73.747176,70.669586
698,100.014329,91.82422,89.637048,91.291502,83.54297,54.593256,79.393655,73.251776,73.591855,70.611869
696,100.034527,91.819554,89.63731,91.300851,83.427191,54.587988,79.373394,73.202938,73.418625,70.548264
694,100.0299,91.843126,89.610476,91.294939,83.28981,54.578311,79.340554,73.117774,73.18816,70.46242
692,100.032589,91.855447,89.59441,91.307584,83.134309,54.573298,79.307733,73.008399,72.922185,70.351333
690,100.033856,91.844082,89.571701,91.314051,82.957847,54.54682,79.261845,72.886509,72.61076,70.222309
688,100.019569,91.82792,89.524134,91.298359,82.738482,54.507424,79.192423,72.734438,72.229132,70.06799
686,100.018242,91.826725,89.475004,91.306789,82.519002,54.476307,79.124501,72.552445,71.791283,69.878931
684,100.018654,91.851292,89.420387,91.323978,82.256219,54.434427,79.057467,72.353253,71.281724,69.671503
682,100.007149,91.827271,89.342835,91.320331,81.95005,54.377744,78.974761,72.113583,70.724234,69.440491
680,100.009737,91.836566,89.275653,91.329405,81.61933,54.320962,78.900431,71.872796,70.148911,69.191655
678,100.014805,91.831317,89.208524,91.339046,81.245461,54.262881,78.830617,71.639254,69.576921,68.951327
676,100.013707,91.827616,89.142014,91.321059,80.81083,54.204879,78.748137,71.424393,69.049451,68.73267
674,100.008948,91.82194,89.096541,91.31309,80.327049,54.155167,78.679407,71.251488,68.665694,68.562628
672,100.014754,91.834073,89.077124,91.326294,79.80346,54.129329,78.629929,71.156462,68.454228,68.477059
670,100.012156,91.850527,89.064823,91.331335,79.253704,54.115739,78.604915,71.129588,68.422876,68.464938
668,100.007951,91.855739,89.080162,91.318242,78.676945,54.124689,78.598076,71.168542,68.583721,68.521292
666,100.004079,91.853632,89.110018,91.318926,78.109591,54.153778,78.621246,71.283228,68.922014,68.665167
664,100.003431,91.834429,89.147687,91.314226,77.583238,54.198305,78.672029,71.452236,69.381442,68.8564
662,100.016817,91.839529,89.197802,91.327307,77.161023,54.259279,78.733436,71.658971,69.91325,69.085162
